sequenceID	source.name	species	serotype	coverage_category	length
PC052749	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
PC052750	ncbi-nuccore-aav	Primate1	AAV8	full_genome	3131
PC052755	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
PC052756	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PC052762	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC052763	ncbi-nuccore-aav	-	-	full_genome	3121
PC052765	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
PC052767	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PC052779	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PC052780	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC052783	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC052784	ncbi-nuccore-aav	Primate1	-	full_genome	3084
PC052785	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC052786	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC052787	ncbi-nuccore-aav	Primate1	-	full_genome	3117
PC052788	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC052789	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC052792	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC052793	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC052797	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PC052800	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PC052804	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PC052808	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PC052809	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PC052812	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC052813	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC052814	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC052815	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC052816	ncbi-nuccore-aav	-	-	full_genome	3121
PC052817	ncbi-nuccore-aav	-	-	full_genome	3127
PC052818	ncbi-nuccore-aav	-	-	full_genome	3106
PC052819	ncbi-nuccore-aav	-	-	full_genome	3102
PC052820	ncbi-nuccore-aav	-	-	full_genome	3106
PC052821	ncbi-nuccore-aav	-	-	full_genome	3098
PC052824	ncbi-nuccore-aav	Primate1	-	full_genome	3075
PC052825	ncbi-nuccore-aav	-	-	full_genome	3142
PC052831	ncbi-nuccore-aav	Primate1	-	full_genome	3161
PC052832	ncbi-nuccore-aav	-	-	full_genome	3162
PC052833	ncbi-nuccore-aav	-	-	full_genome	3164
PC052834	ncbi-nuccore-aav	Primate1	-	full_genome	3163
PC052836	ncbi-nuccore-aav	-	-	full_genome	3161
PC052839	ncbi-nuccore-aav	-	-	full_genome	3167
PC052840	ncbi-nuccore-aav	-	-	full_genome	3161
PC052841	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC052842	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC052881	ncbi-nuccore-aav	Primate1	-	full_genome	3160
PC052882	ncbi-nuccore-aav	Primate1	-	full_genome	3157
PC052884	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC052886	ncbi-nuccore-aav	Primate1	-	full_genome	3156
PC052889	ncbi-nuccore-aav	Primate1	-	full_genome	3158
PC052890	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC052930	ncbi-nuccore-aav	-	-	full_genome	4404
PC052931	ncbi-nuccore-aav	Primate1	-	full_genome	3129
PC052934	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC052935	ncbi-nuccore-aav	Primate1	-	full_genome	3106
PC052936	ncbi-nuccore-aav	Primate1	-	full_genome	3197
PC052937	ncbi-nuccore-aav	-	-	full_genome	3276
PC052939	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC052941	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC052942	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC052944	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC052945	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC052946	ncbi-nuccore-aav	-	-	full_genome	3105
PC052947	ncbi-nuccore-aav	Primate1	-	full_genome	3094
PC052948	ncbi-nuccore-aav	-	-	full_genome	3095
PC052949	ncbi-nuccore-aav	-	-	full_genome	3095
PC052985	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PC053867	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
PC053868	ncbi-nuccore-aav	Primate1	AAV8	full_genome	3131
PC053873	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
PC053874	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PC053880	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC053881	ncbi-nuccore-aav	-	-	full_genome	3121
PC053883	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
PC053885	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PC053897	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PC053898	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC053901	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC053902	ncbi-nuccore-aav	Primate1	-	full_genome	3084
PC053903	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC053904	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC053905	ncbi-nuccore-aav	Primate1	-	full_genome	3117
PC053906	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC053907	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC053910	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC053911	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC053915	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PC053918	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PC053922	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PC053926	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PC053927	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PC053930	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC053931	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC053932	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC053933	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC053934	ncbi-nuccore-aav	-	-	full_genome	3121
PC053935	ncbi-nuccore-aav	-	-	full_genome	3127
PC053936	ncbi-nuccore-aav	-	-	full_genome	3106
PC053937	ncbi-nuccore-aav	-	-	full_genome	3102
PC053938	ncbi-nuccore-aav	-	-	full_genome	3106
PC053939	ncbi-nuccore-aav	-	-	full_genome	3098
PC053942	ncbi-nuccore-aav	Primate1	-	full_genome	3075
PC053943	ncbi-nuccore-aav	-	-	full_genome	3142
PC053949	ncbi-nuccore-aav	Primate1	-	full_genome	3161
PC053950	ncbi-nuccore-aav	-	-	full_genome	3162
PC053951	ncbi-nuccore-aav	-	-	full_genome	3164
PC053952	ncbi-nuccore-aav	Primate1	-	full_genome	3163
PC053954	ncbi-nuccore-aav	-	-	full_genome	3161
PC053957	ncbi-nuccore-aav	-	-	full_genome	3167
PC053958	ncbi-nuccore-aav	-	-	full_genome	3161
PC053959	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC053960	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC053999	ncbi-nuccore-aav	Primate1	-	full_genome	3160
PC054000	ncbi-nuccore-aav	Primate1	-	full_genome	3157
PC054002	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC054004	ncbi-nuccore-aav	Primate1	-	full_genome	3156
PC054007	ncbi-nuccore-aav	Primate1	-	full_genome	3158
PC054008	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC054048	ncbi-nuccore-aav	-	-	full_genome	4404
PC054049	ncbi-nuccore-aav	Primate1	-	full_genome	3129
PC054052	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC054053	ncbi-nuccore-aav	Primate1	-	full_genome	3106
PC054054	ncbi-nuccore-aav	Primate1	-	full_genome	3197
PC054055	ncbi-nuccore-aav	-	-	full_genome	3276
PC054057	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC054059	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC054060	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC054062	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC054063	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC054064	ncbi-nuccore-aav	-	-	full_genome	3105
PC054065	ncbi-nuccore-aav	Primate1	-	full_genome	3094
PC054066	ncbi-nuccore-aav	-	-	full_genome	3095
PC054067	ncbi-nuccore-aav	-	-	full_genome	3095
PC054103	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PC055183	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
PC055184	ncbi-nuccore-aav	Primate1	AAV8	full_genome	3131
PC055189	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
PC055190	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PC055196	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC055197	ncbi-nuccore-aav	-	-	full_genome	3121
PC055199	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
PC055201	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PC055213	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PC055214	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC055217	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC055218	ncbi-nuccore-aav	Primate1	-	full_genome	3084
PC055219	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC055220	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC055221	ncbi-nuccore-aav	Primate1	-	full_genome	3117
PC055222	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC055223	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC055226	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC055227	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC055231	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PC055234	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PC055238	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PC055242	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PC055243	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PC055246	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC055247	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC055248	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC055249	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC055250	ncbi-nuccore-aav	-	-	full_genome	3121
PC055251	ncbi-nuccore-aav	-	-	full_genome	3127
PC055252	ncbi-nuccore-aav	-	-	full_genome	3106
PC055253	ncbi-nuccore-aav	-	-	full_genome	3102
PC055254	ncbi-nuccore-aav	-	-	full_genome	3106
PC055255	ncbi-nuccore-aav	-	-	full_genome	3098
PC055258	ncbi-nuccore-aav	Primate1	-	full_genome	3075
PC055259	ncbi-nuccore-aav	-	-	full_genome	3142
PC055265	ncbi-nuccore-aav	Primate1	-	full_genome	3161
PC055266	ncbi-nuccore-aav	-	-	full_genome	3162
PC055267	ncbi-nuccore-aav	-	-	full_genome	3164
PC055268	ncbi-nuccore-aav	Primate1	-	full_genome	3163
PC055270	ncbi-nuccore-aav	-	-	full_genome	3161
PC055273	ncbi-nuccore-aav	-	-	full_genome	3167
PC055274	ncbi-nuccore-aav	-	-	full_genome	3161
PC055275	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC055276	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC055315	ncbi-nuccore-aav	Primate1	-	full_genome	3160
PC055316	ncbi-nuccore-aav	Primate1	-	full_genome	3157
PC055318	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC055320	ncbi-nuccore-aav	Primate1	-	full_genome	3156
PC055323	ncbi-nuccore-aav	Primate1	-	full_genome	3158
PC055324	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC055364	ncbi-nuccore-aav	-	-	full_genome	4404
PC055365	ncbi-nuccore-aav	Primate1	-	full_genome	3129
PC055368	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC055369	ncbi-nuccore-aav	Primate1	-	full_genome	3106
PC055370	ncbi-nuccore-aav	Primate1	-	full_genome	3197
PC055371	ncbi-nuccore-aav	-	-	full_genome	3276
PC055373	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC055375	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC055376	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC055378	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC055379	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC055380	ncbi-nuccore-aav	-	-	full_genome	3105
PC055381	ncbi-nuccore-aav	Primate1	-	full_genome	3094
PC055382	ncbi-nuccore-aav	-	-	full_genome	3095
PC055383	ncbi-nuccore-aav	-	-	full_genome	3095
PC055419	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PC058392	ncbi-nuccore-aav	-	-	full_genome	3275
PC221109	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PC221120	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PC221132	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PC221133	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC221150	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PC221153	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PC221157	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PC221161	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PC221162	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PC221338	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PC237309	ncbi-nuccore-aav	-	-	full_genome	5910
PC240533	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PC240544	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PC240556	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PC240557	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC240574	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PC240577	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PC240581	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PC240585	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PC240586	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PC240762	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PC298176	ncbi-nuccore-aav	Primate1	AAV8	full_genome	3131
PC298182	ncbi-nuccore-aav	-	-	full_genome	3121
PC298183	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC298184	ncbi-nuccore-aav	-	-	full_genome	3121
PC298189	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC298190	ncbi-nuccore-aav	Primate1	-	full_genome	3084
PC298191	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC298192	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC298193	ncbi-nuccore-aav	Primate1	-	full_genome	3117
PC298194	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PC298195	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC298198	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC298199	ncbi-nuccore-aav	Primate1	-	full_genome	3129
PC298200	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC298203	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC298204	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PC298205	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC298206	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PC298207	ncbi-nuccore-aav	-	-	full_genome	3127
PC298208	ncbi-nuccore-aav	-	-	full_genome	3106
PC298209	ncbi-nuccore-aav	-	-	full_genome	3102
PC298211	ncbi-nuccore-aav	-	-	full_genome	3106
PC298212	ncbi-nuccore-aav	-	-	full_genome	3098
PC298213	ncbi-nuccore-aav	Primate1	-	full_genome	3075
PC298214	ncbi-nuccore-aav	-	-	full_genome	3142
PC298220	ncbi-nuccore-aav	Primate1	-	full_genome	3161
PC298221	ncbi-nuccore-aav	-	-	full_genome	3162
PC298222	ncbi-nuccore-aav	-	-	full_genome	3164
PC298223	ncbi-nuccore-aav	Primate1	-	full_genome	3163
PC298225	ncbi-nuccore-aav	-	-	full_genome	3161
PC298228	ncbi-nuccore-aav	-	-	full_genome	3167
PC298229	ncbi-nuccore-aav	-	-	full_genome	3161
PC298230	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC298231	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PC298270	ncbi-nuccore-aav	Primate1	-	full_genome	3160
PC298271	ncbi-nuccore-aav	Primate1	-	full_genome	3157
PC298273	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC298275	ncbi-nuccore-aav	Primate1	-	full_genome	3156
PC298278	ncbi-nuccore-aav	Primate1	-	full_genome	3158
PC298279	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PC298291	ncbi-nuccore-aav	-	-	full_genome	4404
PC298294	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC298295	ncbi-nuccore-aav	Primate1	-	full_genome	3106
PC298296	ncbi-nuccore-aav	Primate1	-	full_genome	3197
PC298297	ncbi-nuccore-aav	-	-	full_genome	3276
PC298299	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PC298301	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PC298302	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PC298304	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC298305	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PC298306	ncbi-nuccore-aav	-	-	full_genome	3105
PC298307	ncbi-nuccore-aav	Primate1	-	full_genome	3094
PC298308	ncbi-nuccore-aav	-	-	full_genome	3095
PC298309	ncbi-nuccore-aav	-	-	full_genome	3095
PC298341	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
PC298346	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
PC298347	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PC298348	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
PC298349	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PC298361	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PC298363	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PC298366	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PC298370	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PC298372	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PC298373	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PC298433	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PC298472	ncbi-nuccore-aav	-	-	full_genome	5500
PC298473	ncbi-nuccore-aav	-	-	full_genome	5499
PC298503	ncbi-nuccore-aav	-	-	full_genome	3153
PC298504	ncbi-nuccore-aav	-	-	full_genome	3152
PC298505	ncbi-nuccore-aav	-	-	full_genome	4166
PC298506	ncbi-nuccore-aav	-	-	full_genome	4162
PE008384	ncbi-nuccore-aav	Primate1	-	full_genome	4412
PE100567	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
PE100568	ncbi-nuccore-aav	Primate1	AAV8	full_genome	3131
PE100573	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
PE100574	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PE100580	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PE100581	ncbi-nuccore-aav	-	-	full_genome	3121
PE100583	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
PE100585	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PE100597	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PE100598	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PE100601	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PE100602	ncbi-nuccore-aav	Primate1	-	full_genome	3084
PE100603	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PE100604	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PE100605	ncbi-nuccore-aav	Primate1	-	full_genome	3117
PE100606	ncbi-nuccore-aav	Primate1	-	full_genome	3121
PE100607	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PE100610	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PE100611	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PE100615	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PE100618	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PE100622	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PE100626	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PE100627	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PE100630	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PE100631	ncbi-nuccore-aav	Primate1	-	full_genome	3123
PE100632	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PE100633	ncbi-nuccore-aav	Primate1	-	full_genome	3122
PE100634	ncbi-nuccore-aav	-	-	full_genome	3121
PE100635	ncbi-nuccore-aav	-	-	full_genome	3127
PE100636	ncbi-nuccore-aav	-	-	full_genome	3106
PE100637	ncbi-nuccore-aav	-	-	full_genome	3102
PE100638	ncbi-nuccore-aav	-	-	full_genome	3106
PE100639	ncbi-nuccore-aav	-	-	full_genome	3098
PE100642	ncbi-nuccore-aav	Primate1	-	full_genome	3075
PE100643	ncbi-nuccore-aav	-	-	full_genome	3142
PE100649	ncbi-nuccore-aav	Primate1	-	full_genome	3161
PE100650	ncbi-nuccore-aav	-	-	full_genome	3162
PE100651	ncbi-nuccore-aav	-	-	full_genome	3164
PE100652	ncbi-nuccore-aav	Primate1	-	full_genome	3163
PE100654	ncbi-nuccore-aav	-	-	full_genome	3161
PE100657	ncbi-nuccore-aav	-	-	full_genome	3167
PE100658	ncbi-nuccore-aav	-	-	full_genome	3161
PE100659	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PE100660	ncbi-nuccore-aav	Primate1	AAV10	full_genome	3172
PE100699	ncbi-nuccore-aav	Primate1	-	full_genome	3160
PE100700	ncbi-nuccore-aav	Primate1	-	full_genome	3157
PE100702	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PE100704	ncbi-nuccore-aav	Primate1	-	full_genome	3156
PE100707	ncbi-nuccore-aav	Primate1	-	full_genome	3158
PE100708	ncbi-nuccore-aav	Primate1	-	full_genome	3159
PE100748	ncbi-nuccore-aav	-	-	full_genome	4404
PE100749	ncbi-nuccore-aav	Primate1	-	full_genome	3129
PE100752	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PE100753	ncbi-nuccore-aav	Primate1	-	full_genome	3106
PE100754	ncbi-nuccore-aav	Primate1	-	full_genome	3197
PE100755	ncbi-nuccore-aav	-	-	full_genome	3276
PE100757	ncbi-nuccore-aav	Primate1	-	full_genome	3098
PE100759	ncbi-nuccore-aav	Primate1	-	full_genome	3113
PE100760	ncbi-nuccore-aav	Primate1	-	full_genome	3128
PE100762	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PE100763	ncbi-nuccore-aav	Primate1	AAV11	full_genome	3105
PE100764	ncbi-nuccore-aav	-	-	full_genome	3105
PE100765	ncbi-nuccore-aav	Primate1	-	full_genome	3094
PE100766	ncbi-nuccore-aav	-	-	full_genome	3095
PE100767	ncbi-nuccore-aav	-	-	full_genome	3095
PE100803	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PE315752	ncbi-nuccore-aav	-	-	full_genome	4970
PE315753	ncbi-nuccore-aav	-	-	full_genome	4950
PE315754	ncbi-nuccore-aav	-	-	full_genome	4983
PE315755	ncbi-nuccore-aav	-	-	full_genome	4984
PE315756	ncbi-nuccore-aav	-	-	full_genome	4805
PE315757	ncbi-nuccore-aav	-	-	full_genome	4934
PE315758	ncbi-nuccore-aav	-	-	full_genome	4934
PE315759	ncbi-nuccore-aav	-	-	full_genome	4934
PE315760	ncbi-nuccore-aav	-	-	full_genome	5511
PE315761	ncbi-nuccore-aav	-	-	full_genome	5688
PE315762	ncbi-nuccore-aav	-	-	full_genome	5613
PE315763	ncbi-nuccore-aav	-	-	full_genome	5362
PE315764	ncbi-nuccore-aav	-	-	full_genome	5464
PE315770	ncbi-nuccore-aav	-	-	full_genome	5430
PE315771	ncbi-nuccore-aav	-	-	full_genome	5779
PE315772	ncbi-nuccore-aav	-	-	full_genome	5962
PE315773	ncbi-nuccore-aav	-	-	full_genome	5919
PE315774	ncbi-nuccore-aav	-	-	full_genome	5306
PE315775	ncbi-nuccore-aav	-	-	full_genome	5461
PE315776	ncbi-nuccore-aav	-	-	full_genome	5327
PE315777	ncbi-nuccore-aav	-	-	full_genome	5309
PE315778	ncbi-nuccore-aav	-	-	full_genome	5532
PE315779	ncbi-nuccore-aav	-	-	full_genome	5877
PE315782	ncbi-nuccore-aav	-	-	full_genome	5504
PE315783	ncbi-nuccore-aav	-	-	full_genome	5507
PE315784	ncbi-nuccore-aav	-	-	full_genome	5311
PE315785	ncbi-nuccore-aav	-	-	full_genome	5156
PE315786	ncbi-nuccore-aav	-	-	full_genome	5178
PE315787	ncbi-nuccore-aav	-	-	full_genome	5160
PE315788	ncbi-nuccore-aav	-	-	full_genome	5383
PE315789	ncbi-nuccore-aav	-	-	full_genome	5728
PE315790	ncbi-nuccore-aav	-	-	full_genome	5905
PE315791	ncbi-nuccore-aav	-	-	full_genome	5355
PE315792	ncbi-nuccore-aav	-	-	full_genome	5618
PE315793	ncbi-nuccore-aav	-	-	full_genome	5993
PE315794	ncbi-nuccore-aav	-	-	full_genome	5337
PE315795	ncbi-nuccore-aav	-	-	full_genome	5542
PE315796	ncbi-nuccore-aav	-	-	full_genome	5126
PE468513	ncbi-nuccore-aav	Primate1	AAV1	full_genome	4718
PE468519	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4675
PE468520	ncbi-nuccore-aav	Primate1	AAV2	full_genome	4679
PE468529	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4726
PE468531	ncbi-nuccore-aav	Primate1	AAV3	full_genome	4722
PE468543	ncbi-nuccore-aav	Primate1	AAV4	full_genome	4768
PE468561	ncbi-nuccore-aav	Primate1	-	full_genome	4683
PE468564	ncbi-nuccore-aav	Primate1	AAV7	full_genome	4721
PE468568	ncbi-nuccore-aav	Primate1	AAV8	full_genome	4393
PE468572	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4385
PE468573	ncbi-nuccore-aav	Primate1	AAV9	full_genome	4382
PE468749	ncbi-nuccore-aav	Mammalian1	BAAV	full_genome	4694
PF121046	ncbi-nuccore-aav	Primate1	-	full_genome	4093
PF122936	ncbi-nuccore-aav	Primate1	-	full_genome	4472
PP621512	ncbi-nuccore-aav	Primate1	-	full_genome	4518
Y18065	ncbi-nuccore-aav	Mammalian1	AAV5	full_genome	4404
AH002306	ncbi-nuccore-aav-short	Primate1	AAV2	-	390
AX286293	ncbi-nuccore-aav-short	Primate1	AAV2	-	145
AX344105	ncbi-nuccore-aav-short	Primate1	AAV2	VP	606
AX355846	ncbi-nuccore-aav-short	-	-	-	378
AX384518	ncbi-nuccore-aav-short	Primate1	-	-	130
AX398302	ncbi-nuccore-aav-short	Primate1	-	-	191
AX398303	ncbi-nuccore-aav-short	Primate1	AAV2	-	169
AX398304	ncbi-nuccore-aav-short	Primate1	AAV2	-	174
